task_id,task_type,data_size_bytes,cpu_req_mi,deadline_ms,urgency,energy_est,source_id,arrival_ms
1,Temp,56,45,701,2,0.0226,9,1508
2,ECG,10935,678,704,10,0.3499,3,61
3,SpO2,206,90,228,9,0.0452,22,569
4,BP,1018,379,629,4,0.1905,29,1206
5,FallDetect,2395,770,162,10,0.3874,21,1726
6,Accel,718,185,188,7,0.0932,30,1098
7,ECG,5811,1534,716,7,0.7728,36,407
8,SpO2,544,76,73,9,0.0385,7,735
9,Temp,124,20,1951,2,0.0101,7,778
10,BP,851,234,964,6,0.1179,38,817
11,Accel,470,345,493,7,0.173,5,93
12,SpO2,573,91,144,8,0.0461,14,1372
13,FallDetect,2372,669,123,9,0.3369,9,505
14,ECG,11292,1970,422,8,0.9963,42,1022
15,Temp,70,20,1698,4,0.0101,5,1557
16,SpO2,743,50,203,8,0.0257,32,39
17,BP,357,217,232,5,0.1089,26,548
18,ECG,8201,661,665,9,0.3387,41,1266
19,Accel,256,371,427,8,0.1858,44,864
20,SpO2,265,136,55,7,0.0683,38,451
